order_number,employee_id,employee_name,job_title,sales_region,order_date,order_type,customer_type,customer_name,customer_state,product_category,product_number,produce_name,quantity,unit_price,sale_price
1103721,900010428,Colby Hallberg,Sales Representative,N Central East,04/06/2019,Retail,Individual,Rebeka Espinosa,Indiana,Bath products,BP402,Assorted Olive Bar Soap - 6 pk,4,30,120
1103722,900010428,Colby Hallberg,Sales Representative,N Central East,04/06/2019,Retail,Individual,Simona Moylan,Michigan,Bath products,BP305,Mandarin and Olive Oil Lotion,4,9.99,39.96
1103732,900010428,Colby Hallberg,Sales Representative,N Central East,05/06/2019,Retail,Individual,Randal Slocomb,Wisconsin,Gift Basket,GB303,Scented Olive Oil Lotion Gift Basket,1,27,27
1103749,900010428,Colby Hallberg,Sales Representative,N Central East,08/06/2019,Retail,Individual,Milli Mulcaster,Ohio,Olive Oil,OO309,Garlic Extra Virgin Olive Oil,2,26,52
1103758,900010428,Colby Hallberg,Sales Representative,N Central East,09/06/2019,Retail,Individual,Frank Martini,Illinois,Olive Oil,OO122,Extra Virgin Olive Oil - Bold 12pk,2,234,468
1103779,900010428,Colby Hallberg,Sales Representative,N Central East,12/06/2019,Retail,Individual,Deedee Bernardes,Indiana,Bath products,BP304,Mandarin and Olive Oil Bar Soap 3pk,3,14.5,43.5
1103826,900010428,Colby Hallberg,Sales Representative,N Central East,18/06/2019,Wholesale,Business,Gislason Group,Minnesota,Olive Oil,OO123,Extra Virgin Olive Oil - Trio 12pk,3,234,702
1103821,900010428,Colby Hallberg,Sales Representative,N Central East,18/06/2019,Retail,Individual,Joyce Harborow,Ohio,Bath products,BP502,Vanilla and Olive Oil Candle,3,6.99,20.97
1103891,900010428,Colby Hallberg,Sales Representative,N Central East,27/06/2019,Retail,Individual,Jeanine Merit,Wisconsin,Bath products,BP301,Mandarin and Olive Bath Salts,3,8.5,25.5
1103950,900010428,Colby Hallberg,Sales Representative,N Central East,05/07/2019,Retail,Individual,Daile Weedenburg,Illinois,Bath products,BP503,Vanilla and Olive Oil Bar Soap,3,5.99,17.97
1103966,900010428,Colby Hallberg,Sales Representative,N Central East,07/07/2019,Retail,Individual,Kaspar Tipple,Michigan,Gift Basket,GB304,Scented Olive Oil Bath Salts Gift Basket,1,35,35
1104001,900010428,Colby Hallberg,Sales Representative,N Central East,11/07/2019,Retail,Individual,Frank Martini,Illinois,Olive Oil,OO207,Basil Extra Virgin Olive Oil 2pk,4,45,180
1104049,900010428,Colby Hallberg,Sales Representative,N Central East,17/07/2019,Retail,Individual,Ethelred Cleworth,Ohio,Bath products,BP505,Vanilla and Olive Oil Lotion,2,9.99,19.98
1104060,900010428,Colby Hallberg,Sales Representative,N Central East,19/07/2019,Wholesale,Business,The Landon Hotel,Ohio,Olive Oil,OO127,Rosemary Extra Virgin Olive Oil 12pk,10,234,2340
1104059,900010428,Colby Hallberg,Sales Representative,N Central East,19/07/2019,Retail,Individual,Britteny Turnell,Wisconsin,Olive Oil,OO608,Rosemary Extra Virgin Olive Oil 6pk,3,123,369
1104108,900010428,Colby Hallberg,Sales Representative,N Central East,26/07/2019,Retail,Individual,Britteny Turnell,Wisconsin,Olive Oil,OO123,Extra Virgin Olive Oil - Trio 12pk,3,234,702
1104104,900010428,Colby Hallberg,Sales Representative,N Central East,26/07/2019,Retail,Individual,Chancey Dives,Illinois,Olive Oil,OO604,Extra Virgin Olive Oil - Trio 6pk,2,114,228
1104115,900010428,Colby Hallberg,Sales Representative,N Central East,28/07/2019,Retail,Individual,Ferguson Rabb,Iowa,Olive Oil,OO124,Basil Extra Virgin Olive Oil 12pk,4,234,936
1104146,900010428,Colby Hallberg,Sales Representative,N Central East,01/08/2019,Wholesale,Business,Runte LLC,Ohio,Olive Oil,OO128,Chili Extra Virgin Olive Oil 12pk,5,234,1170
1104150,900010428,Colby Hallberg,Sales Representative,N Central East,01/08/2019,Retail,Individual,Adorne Zappel,Indiana,Olive Oil,OO203,Garlic Extra Virgin Olive Oil 2pk,2,45,90
1104199,900010428,Colby Hallberg,Sales Representative,N Central East,09/08/2019,Retail,Individual,Mariel Silbermann,Michigan,Olive Oil,OO302,Chili Extra Virgin Olive Oil,2,26,52
1104200,900010428,Colby Hallberg,Sales Representative,N Central East,09/08/2019,Retail,Individual,Martha Willoway,Illinois,Olive Oil,OO604,Extra Virgin Olive Oil - Trio 6pk,4,114,456
1104262,900010428,Colby Hallberg,Sales Representative,N Central East,18/08/2019,Retail,Individual,Latia Salamon,Kansas,Bath products,BP105,Lavender and Olive Oil Lotion,4,9.99,39.96
1104281,900010428,Colby Hallberg,Sales Representative,N Central East,20/08/2019,Retail,Individual,Kaspar Tipple,Michigan,Gift Basket,GB102,Rosmary EVOO Gift Basket,2,75,150
1104284,900010428,Colby Hallberg,Sales Representative,N Central East,20/08/2019,Retail,Individual,Buffy Mourant,Indiana,Olive Oil,OO604,Extra Virgin Olive Oil - Trio 6pk,2,114,228
1104339,900010428,Colby Hallberg,Sales Representative,N Central East,28/08/2019,Retail,Business,Beezwax Inc,Ohio,Olive Oil,OO608,Rosemary Extra Virgin Olive Oil 6pk,2,123,246
1104347,900010428,Colby Hallberg,Sales Representative,N Central East,29/08/2019,Wholesale,Business,Gislason Group,Minnesota,Olive Oil,OO128,Chili Extra Virgin Olive Oil 12pk,9,234,2106
1104367,900010428,Colby Hallberg,Sales Representative,N Central East,01/09/2019,Retail,Individual,Cyndia Tupling,Minnesota,Gift Basket,GB102,Rosmary EVOO Gift Basket,3,75,225
1104397,900010428,Colby Hallberg,Sales Representative,N Central East,06/09/2019,Retail,Individual,Alford Roddy,Michigan,Olive Oil,OO128,Chili Extra Virgin Olive Oil 12pk,1,234,234
1104402,900010428,Colby Hallberg,Sales Representative,N Central East,06/09/2019,Retail,Individual,Thorn Logan,Kansas,Bath products,BP500,Vanilla and Olive Oil Body Soap,1,7.45,7.45
1104430,900010428,Colby Hallberg,Sales Representative,N Central East,11/09/2019,Retail,Individual,Adorne Zappel,Indiana,Gift Basket,GB302,Scented Olive Oil Bath Soap Gift Basket,4,45,180
1104452,900010428,Colby Hallberg,Sales Representative,N Central East,14/09/2019,Retail,Business,Beezwax Inc,Ohio,Bath products,BP502,Vanilla and Olive Oil Candle,3,6.99,20.97
1104478,900010428,Colby Hallberg,Sales Representative,N Central East,19/09/2019,Retail,Individual,Claybourne Andrichuk,Ohio,Bath products,BP402,Assorted Olive Bar Soap - 6 pk,4,30,120
1104493,900010428,Colby Hallberg,Sales Representative,N Central East,21/09/2019,Retail,Individual,Joyce Harborow,Ohio,Bath products,BP305,Mandarin and Olive Oil Lotion,4,9.99,39.96
1104503,900010428,Colby Hallberg,Sales Representative,N Central East,22/09/2019,Retail,Individual,Langsdon Freschini,Minnesota,Olive Oil,OO308,Basil Extra Virgin Olive Oil,1,26,26
1104507,900010428,Colby Hallberg,Sales Representative,N Central East,23/09/2019,Retail,Individual,Julieta Robbert,Indiana,Olive Oil,OO601,Extra Virgin Olive Oil - Bold 6pk,4,114,456
1104524,900010428,Colby Hallberg,Sales Representative,N Central East,26/09/2019,Retail,Individual,Brendin Rickaby,Kansas,Bath products,BP305,Mandarin and Olive Oil Lotion,1,9.99,9.99
1104531,900010428,Colby Hallberg,Sales Representative,N Central East,27/09/2019,Retail,Individual,Olav Wisbey,Illinois,Olive Oil,OO308,Basil Extra Virgin Olive Oil,1,26,26
1104539,900010428,Colby Hallberg,Sales Representative,N Central East,28/09/2019,Retail,Individual,Gonzalo Kitto,Kansas,Olive Oil,OO202,Extra Virgin Olive Oil - Medium 2pk,1,16.75,16.75
1104583,900010428,Colby Hallberg,Sales Representative,N Central East,05/10/2019,Retail,Individual,Reagen Bulstrode,Minnesota,Olive Oil,OO121,Extra Virgin Olive Oil - Medium 12 pk,3,19.5,58.5
1104628,900010428,Colby Hallberg,Sales Representative,N Central East,11/10/2019,Retail,Individual,Buffy Mourant,Indiana,Bath products,BP302,Mandarin and Olive Candle,3,6.99,20.97
1104643,900010428,Colby Hallberg,Sales Representative,N Central East,15/10/2019,Retail,Individual,Corrinne Tacey,Wisconsin,Gift Basket,GB104,Garlic EVOO Gift Basket,3,75,225
1104662,900010428,Colby Hallberg,Sales Representative,N Central East,17/10/2019,Retail,Individual,Torin Jacomb,Iowa,Gift Basket,GB303,Scented Olive Oil Lotion Gift Basket,4,27,108
1104669,900010428,Colby Hallberg,Sales Representative,N Central East,18/10/2019,Retail,Individual,Angelo Widdup,Minnesota,Gift Basket,GB101,Infused EVOO Gift Basket,2,75,150
1104697,900010428,Colby Hallberg,Sales Representative,N Central East,21/10/2019,Retail,Individual,Enrique Hynard,Ohio,Gift Basket,GB300,Deluxe Bath Gift Basket,2,115,230
1104751,900010428,Colby Hallberg,Sales Representative,N Central East,28/10/2019,Retail,Individual,Carmelia Badder,Ohio,Olive Oil,OO203,Garlic Extra Virgin Olive Oil 2pk,1,45,45
1104752,900010428,Colby Hallberg,Sales Representative,N Central East,29/10/2019,Retail,Individual,Doro Elnor,Illinois,Olive Oil,OO206,Chili Extra Virgin Olive Oil 2pk,4,45,180
1104899,900010428,Colby Hallberg,Sales Representative,N Central East,19/11/2019,Retail,Individual,Gratiana Atwood,Wisconsin,Olive Oil,OO305,Extra Virgin Olive Oil - Trio 3pk,2,70,140
1104932,900010428,Colby Hallberg,Sales Representative,N Central East,24/11/2019,Retail,Individual,Link De Domenico,Illinois,Bath products,BP303,Mandarin and Olive Oil Bar Soap,4,5.99,23.96
1104939,900010428,Colby Hallberg,Sales Representative,N Central East,25/11/2019,Retail,Individual,Gonzalo Kitto,Kansas,Gift Basket,GB102,Rosmary EVOO Gift Basket,2,75,150
1104967,900010428,Colby Hallberg,Sales Representative,N Central East,28/11/2019,Wholesale,Business,Mertz LLC,Iowa,Olive Oil,OO128,Chili Extra Virgin Olive Oil 12pk,14,234,3276
1105126,900010428,Colby Hallberg,Sales Representative,N Central East,23/12/2019,Retail,Business,Beezwax Inc,Ohio,Olive Oil,OO124,Basil Extra Virgin Olive Oil 12pk,2,234,468
1105164,900010428,Colby Hallberg,Sales Representative,N Central East,28/12/2019,Retail,Individual,Tish Muneely,Michigan,Gift Basket,GB301,Scented Olive Oil Candle Gift Basket,2,19.5,39
1105202,900010428,Colby Hallberg,Sales Representative,N Central East,02/01/2020,Retail,Individual,Renato Tuxwell,Illinois,Olive Oil,OO601,Extra Virgin Olive Oil - Bold 6pk,4,114,456
1105235,900010428,Colby Hallberg,Sales Representative,N Central East,07/01/2020,Retail,Business,Beezwax Inc,Ohio,Gift Basket,GB104,Garlic EVOO Gift Basket,3,75,225
1105306,900010428,Colby Hallberg,Sales Representative,N Central East,19/01/2020,Retail,Individual,Alvan Hawkslee,Ohio,Bath products,BP301,Mandarin and Olive Bath Salts,2,8.5,17
1105307,900010428,Colby Hallberg,Sales Representative,N Central East,19/01/2020,Retail,Individual,Ethelred Cleworth,Ohio,Bath products,BP305,Mandarin and Olive Oil Lotion,3,9.99,29.97
1105333,900010428,Colby Hallberg,Sales Representative,N Central East,22/01/2020,Wholesale,Business,Rosenbaum LLC,Wisconsin,Olive Oil,OO122,Extra Virgin Olive Oil - Bold 12pk,12,234,2808
1105371,900010428,Colby Hallberg,Sales Representative,N Central East,28/01/2020,Retail,Individual,Ethelin Chapell,Minnesota,Gift Basket,GB102,Rosmary EVOO Gift Basket,1,75,75
1105392,900010428,Colby Hallberg,Sales Representative,N Central East,31/01/2020,Retail,Individual,Margaretha Bentall,Kansas,Olive Oil,OO201,Extra Virgin Olive Oil - Delicate 2pk,4,45,180
1105405,900010428,Colby Hallberg,Sales Representative,N Central East,02/02/2020,Retail,Individual,Tony Weinberg,Minnesota,Bath products,BP502,Vanilla and Olive Oil Candle,1,6.99,6.99
1105420,900010428,Colby Hallberg,Sales Representative,N Central East,03/02/2020,Retail,Individual,Carlie Matthieson,Minnesota,Olive Oil,OO128,Chili Extra Virgin Olive Oil 12pk,3,234,702
1105436,900010428,Colby Hallberg,Sales Representative,N Central East,06/02/2020,Retail,Individual,Ruthanne Vernon,Minnesota,Olive Oil,OO304,Extra Virgin Olive Oil - Medium,4,24.5,98
1105483,900010428,Colby Hallberg,Sales Representative,N Central East,14/02/2020,Retail,Individual,Karney Giacobazzi,Iowa,Olive Oil,OO124,Basil Extra Virgin Olive Oil 12pk,1,234,234
1105588,900010428,Colby Hallberg,Sales Representative,N Central East,29/02/2020,Retail,Individual,Beilul Pagan,Kansas,Olive Oil,OO125,Garlic Extra Virgin Olive Oil 12pk,4,234,936
1105611,900010428,Colby Hallberg,Sales Representative,N Central East,03/03/2020,Retail,Individual,Claybourne Andrichuk,Ohio,Gift Basket,GB300,Deluxe Bath Gift Basket,4,115,460
1105626,900010428,Colby Hallberg,Sales Representative,N Central East,05/03/2020,Wholesale,Business,Rosenbaum LLC,Wisconsin,Olive Oil,OO127,Rosemary Extra Virgin Olive Oil 12pk,1,234,234
1105664,900010428,Colby Hallberg,Sales Representative,N Central East,10/03/2020,Retail,Individual,Avrom Fullagar,Illinois,Olive Oil,OO601,Extra Virgin Olive Oil - Bold 6pk,1,114,114
1105734,900010428,Colby Hallberg,Sales Representative,N Central East,20/03/2020,Wholesale,Business,Mertz LLC,Iowa,Olive Oil,OO126,Lemon Extra Virgin Olive Oil 12pk,13,234,3042
1105748,900010428,Colby Hallberg,Sales Representative,N Central East,21/03/2020,Retail,Individual,Gonzalo Kitto,Kansas,Olive Oil,OO307,Rosemary Extra Virgin Olive Oil,2,26,52
1105750,900010428,Colby Hallberg,Sales Representative,N Central East,22/03/2020,Retail,Individual,Izaak Belfelt,Illinois,Bath products,BP503,Vanilla and Olive Oil Bar Soap,2,5.99,11.98
1105789,900010428,Colby Hallberg,Sales Representative,N Central East,27/03/2020,Retail,Individual,Haley Carff,Ohio,Bath products,BP500,Vanilla and Olive Oil Body Soap,3,7.45,22.35
1105801,900010428,Colby Hallberg,Sales Representative,N Central East,29/03/2020,Retail,Individual,Thorn Logan,Kansas,Olive Oil,OO606,Basil Extra Virgin Olive Oil 6pk,4,123,492
1105880,900010428,Colby Hallberg,Sales Representative,N Central East,10/04/2020,Wholesale,Business,The Landon Hotel,Ohio,Olive Oil,OO124,Basil Extra Virgin Olive Oil 12pk,14,234,3276
1105896,900010428,Colby Hallberg,Sales Representative,N Central East,12/04/2020,Retail,Individual,Milli Mulcaster,Ohio,Olive Oil,OO202,Extra Virgin Olive Oil - Medium 2pk,1,16.75,16.75
1105912,900010428,Colby Hallberg,Sales Representative,N Central East,16/04/2020,Retail,Individual,Jerrome Dowling,Michigan,Bath products,BP104,Lavender and Olive Oil Bar Soap 3pk,1,14.5,14.5
1105926,900010428,Colby Hallberg,Sales Representative,N Central East,17/04/2020,Wholesale,Business,Rosenbaum LLC,Wisconsin,Olive Oil,OO124,Basil Extra Virgin Olive Oil 12pk,13,234,3042
1105956,900010428,Colby Hallberg,Sales Representative,N Central East,22/04/2020,Retail,Individual,Avrom Fullagar,Illinois,Olive Oil,OO609,Lemon Extra Virgin Olive Oil 6pk,3,123,369
1105987,900010428,Colby Hallberg,Sales Representative,N Central East,28/04/2020,Wholesale,Business,Gislason Group,Minnesota,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,9,234,2106
1105993,900010428,Colby Hallberg,Sales Representative,N Central East,29/04/2020,Retail,Individual,Ignacius Belchem,Ohio,Olive Oil,OO124,Basil Extra Virgin Olive Oil 12pk,2,234,468
1105997,900010428,Colby Hallberg,Sales Representative,N Central East,30/04/2020,Retail,Individual,Beilul Pagan,Kansas,Olive Oil,OO203,Garlic Extra Virgin Olive Oil 2pk,2,45,90
1106015,900010428,Colby Hallberg,Sales Representative,N Central East,03/05/2020,Retail,Individual,Chancey Dives,Illinois,Olive Oil,OO308,Basil Extra Virgin Olive Oil,2,26,52
1106029,900010428,Colby Hallberg,Sales Representative,N Central East,05/05/2020,Retail,Individual,Gratiana Atwood,Wisconsin,Bath products,BP402,Assorted Olive Bar Soap - 6 pk,4,30,120
1106093,900010428,Colby Hallberg,Sales Representative,N Central East,13/05/2020,Retail,Individual,Carlie Matthieson,Minnesota,Gift Basket,GB102,Rosmary EVOO Gift Basket,2,75,150
1106127,900010428,Colby Hallberg,Sales Representative,N Central East,17/05/2020,Retail,Individual,Lucius Boddy,Indiana,Bath products,BP103,Lavender and Olive Oil Bar Soap,1,5.99,5.99
1106155,900010428,Colby Hallberg,Sales Representative,N Central East,21/05/2020,Retail,Individual,Carlie Matthieson,Minnesota,Olive Oil,OO602,Extra Virgin Olive Oil - Medium 6pk,2,114,228
1106161,900010428,Colby Hallberg,Sales Representative,N Central East,22/05/2020,Wholesale,Business,The Landon Hotel,Ohio,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,4,234,936
1106206,900010428,Colby Hallberg,Sales Representative,N Central East,29/05/2020,Retail,Individual,Christophe Meletti,Iowa,Gift Basket,GB101,Infused EVOO Gift Basket,1,75,75
1106234,900010428,Colby Hallberg,Sales Representative,N Central East,02/06/2020,Retail,Individual,Lane Wishkar,Illinois,Olive Oil,OO203,Garlic Extra Virgin Olive Oil 2pk,4,45,180
1106246,900010428,Colby Hallberg,Sales Representative,N Central East,03/06/2020,Retail,Individual,Enrique Hynard,Ohio,Gift Basket,GB102,Rosmary EVOO Gift Basket,1,75,75
1106310,900010428,Colby Hallberg,Sales Representative,N Central East,11/06/2020,Retail,Individual,Cyndia Tupling,Minnesota,Bath products,BP305,Mandarin and Olive Oil Lotion,2,9.99,19.98
1106406,900010428,Colby Hallberg,Sales Representative,N Central East,26/06/2020,Retail,Individual,Annadiana Belch,Michigan,Bath products,BP101,Lavender and Olive Bath Salts,2,8.5,17
1106425,900010428,Colby Hallberg,Sales Representative,N Central East,28/06/2020,Retail,Individual,Brendin Rickaby,Kansas,Olive Oil,OO126,Lemon Extra Virgin Olive Oil 12pk,3,234,702
1106433,900010428,Colby Hallberg,Sales Representative,N Central East,28/06/2020,Retail,Individual,Lucius Boddy,Indiana,Olive Oil,OO203,Garlic Extra Virgin Olive Oil 2pk,3,45,135
1106474,900010428,Colby Hallberg,Sales Representative,N Central East,04/07/2020,Retail,Individual,Randal Slocomb,Wisconsin,Bath products,BP105,Lavender and Olive Oil Lotion,2,9.99,19.98
1106473,900010428,Colby Hallberg,Sales Representative,N Central East,04/07/2020,Retail,Individual,Othilie Cicullo,Indiana,Bath products,BP105,Lavender and Olive Oil Lotion,3,9.99,29.97
1106479,900010428,Colby Hallberg,Sales Representative,N Central East,04/07/2020,Retail,Individual,Ondrea Franck,Kansas,Olive Oil,OO303,Extra Virgin Olive Oil - Delicate,3,24.5,73.5
1106486,900010428,Colby Hallberg,Sales Representative,N Central East,05/07/2020,Retail,Individual,Jeanine Merit,Wisconsin,Bath products,BP502,Vanilla and Olive Oil Candle,2,6.99,13.98
1106544,900010428,Colby Hallberg,Sales Representative,N Central East,12/07/2020,Retail,Individual,Kania Knibley,Ohio,Bath products,BP302,Mandarin and Olive Candle,1,6.99,6.99
1106554,900010428,Colby Hallberg,Sales Representative,N Central East,13/07/2020,Retail,Individual,Mariel Silbermann,Michigan,Olive Oil,OO609,Lemon Extra Virgin Olive Oil 6pk,3,123,369
1106570,900010428,Colby Hallberg,Sales Representative,N Central East,15/07/2020,Retail,Individual,Ferguson Rabb,Iowa,Bath products,BP301,Mandarin and Olive Bath Salts,3,8.5,25.5
1106600,900010428,Colby Hallberg,Sales Representative,N Central East,18/07/2020,Retail,Individual,Simona Moylan,Michigan,Gift Basket,GB301,Scented Olive Oil Candle Gift Basket,2,19.5,39
1106634,900010428,Colby Hallberg,Sales Representative,N Central East,22/07/2020,Wholesale,Business,Kassulke Inc,Kansas,Olive Oil,OO123,Extra Virgin Olive Oil - Trio 12pk,4,234,936
1106651,900010428,Colby Hallberg,Sales Representative,N Central East,25/07/2020,Retail,Individual,Ethelin Chapell,Minnesota,Olive Oil,OO201,Extra Virgin Olive Oil - Delicate 2pk,4,45,180
1106673,900010428,Colby Hallberg,Sales Representative,N Central East,28/07/2020,Retail,Individual,Shela Welman,Ohio,Olive Oil,OO127,Rosemary Extra Virgin Olive Oil 12pk,4,234,936
1106718,900010428,Colby Hallberg,Sales Representative,N Central East,03/08/2020,Retail,Individual,Olav Wisbey,Illinois,Olive Oil,OO121,Extra Virgin Olive Oil - Medium 12 pk,3,19.5,58.5
1106748,900010428,Colby Hallberg,Sales Representative,N Central East,07/08/2020,Retail,Individual,Karney Giacobazzi,Iowa,Olive Oil,OO128,Chili Extra Virgin Olive Oil 12pk,2,234,468
1106757,900010428,Colby Hallberg,Sales Representative,N Central East,09/08/2020,Retail,Individual,Carmelia Badder,Ohio,Bath products,BP103,Lavender and Olive Oil Bar Soap,3,5.99,17.97
1106832,900010428,Colby Hallberg,Sales Representative,N Central East,18/08/2020,Retail,Individual,Latia Salamon,Kansas,Olive Oil,OO309,Garlic Extra Virgin Olive Oil,2,26,52
1106842,900010428,Colby Hallberg,Sales Representative,N Central East,20/08/2020,Retail,Individual,Langsdon Freschini,Minnesota,Olive Oil,OO607,Garlic Extra Virgin Olive Oil 6pk,2,123,246
1106871,900010428,Colby Hallberg,Sales Representative,N Central East,24/08/2020,Retail,Individual,Roselle Knevit,Illinois,Olive Oil,OO601,Extra Virgin Olive Oil - Bold 6pk,4,114,456
1106876,900010428,Colby Hallberg,Sales Representative,N Central East,25/08/2020,Wholesale,Business,Kassulke Inc,Kansas,Olive Oil,OO127,Rosemary Extra Virgin Olive Oil 12pk,9,234,2106
1106877,900010428,Colby Hallberg,Sales Representative,N Central East,25/08/2020,Retail,Individual,Daile Weedenburg,Illinois,Olive Oil,OO304,Extra Virgin Olive Oil - Medium,3,24.5,73.5
1106884,900010428,Colby Hallberg,Sales Representative,N Central East,26/08/2020,Wholesale,Business,Gislason Group,Minnesota,Olive Oil,OO124,Basil Extra Virgin Olive Oil 12pk,13,234,3042
1106949,900010428,Colby Hallberg,Sales Representative,N Central East,04/09/2020,Wholesale,Business,Aufderhar LLC,Illinois,Olive Oil,OO128,Chili Extra Virgin Olive Oil 12pk,11,234,2574
1106966,900010428,Colby Hallberg,Sales Representative,N Central East,06/09/2020,Retail,Individual,Ignacius Belchem,Ohio,Bath products,BP303,Mandarin and Olive Oil Bar Soap,3,5.99,17.97
1106972,900010428,Colby Hallberg,Sales Representative,N Central East,07/09/2020,Retail,Individual,Othilie Cicullo,Indiana,Gift Basket,GB106,Basil EVOO Gift Basket,3,75,225
1106971,900010428,Colby Hallberg,Sales Representative,N Central East,07/09/2020,Retail,Individual,Fawnia Le Sarr,Michigan,Olive Oil,OO206,Chili Extra Virgin Olive Oil 2pk,3,45,135
1107000,900010428,Colby Hallberg,Sales Representative,N Central East,12/09/2020,Retail,Individual,Rebeka Espinosa,Indiana,Olive Oil,OO207,Basil Extra Virgin Olive Oil 2pk,1,45,45
1107059,900010428,Colby Hallberg,Sales Representative,N Central East,20/09/2020,Retail,Individual,Haley Carff,Ohio,Olive Oil,OO201,Extra Virgin Olive Oil - Delicate 2pk,2,45,90
1107205,900010428,Colby Hallberg,Sales Representative,N Central East,12/10/2020,Retail,Individual,Gloria Spillett,Indiana,Olive Oil,OO609,Lemon Extra Virgin Olive Oil 6pk,3,123,369
1107272,900010428,Colby Hallberg,Sales Representative,N Central East,22/10/2020,Retail,Individual,Frank Martini,Illinois,Bath products,BP102,Lavender and Olive Candle,3,6.99,20.97
1107296,900010428,Colby Hallberg,Sales Representative,N Central East,25/10/2020,Retail,Individual,Beilul Pagan,Kansas,Olive Oil,OO305,Extra Virgin Olive Oil - Trio 3pk,1,70,70
1107309,900010428,Colby Hallberg,Sales Representative,N Central East,27/10/2020,Wholesale,Business,Mertz LLC,Iowa,Olive Oil,OO126,Lemon Extra Virgin Olive Oil 12pk,5,234,1170
1107302,900010428,Colby Hallberg,Sales Representative,N Central East,27/10/2020,Retail,Individual,Ignacius Belchem,Ohio,Olive Oil,OO306,Lemon Extra Virgin Olive Oil,3,26,78
1107316,900010428,Colby Hallberg,Sales Representative,N Central East,28/10/2020,Retail,Individual,Ricoriki Hargreaves,Ohio,Gift Basket,GB106,Basil EVOO Gift Basket,3,75,225
1107368,900010428,Colby Hallberg,Sales Representative,N Central East,05/11/2020,Retail,Individual,Mareah Bernade,Minnesota,Gift Basket,GB104,Garlic EVOO Gift Basket,4,75,300
1107369,900010428,Colby Hallberg,Sales Representative,N Central East,05/11/2020,Retail,Individual,Daile Weedenburg,Illinois,Bath products,BP402,Assorted Olive Bar Soap - 6 pk,2,30,60
1107374,900010428,Colby Hallberg,Sales Representative,N Central East,07/11/2020,Retail,Individual,Gratiana Atwood,Wisconsin,Gift Basket,GB103,Lemon EVOO Gift Basket,4,75,300
1107395,900010428,Colby Hallberg,Sales Representative,N Central East,10/11/2020,Retail,Individual,Margaretha Bentall,Kansas,Olive Oil,OO202,Extra Virgin Olive Oil - Medium 2pk,4,16.75,67
1107413,900010428,Colby Hallberg,Sales Representative,N Central East,11/11/2020,Wholesale,Business,Runte LLC,Ohio,Olive Oil,OO124,Basil Extra Virgin Olive Oil 12pk,3,234,702
1107447,900010428,Colby Hallberg,Sales Representative,N Central East,16/11/2020,Retail,Individual,Corrinne Tacey,Wisconsin,Bath products,BP102,Lavender and Olive Candle,3,6.99,20.97
1107487,900010428,Colby Hallberg,Sales Representative,N Central East,22/11/2020,Retail,Individual,Gloria Spillett,Indiana,Olive Oil,OO606,Basil Extra Virgin Olive Oil 6pk,4,123,492
1107559,900010428,Colby Hallberg,Sales Representative,N Central East,01/12/2020,Retail,Individual,Ondrea Franck,Kansas,Olive Oil,OO200,Extra Virgin Olive Oil - Bold 2pk,4,17.5,70
1107567,900010428,Colby Hallberg,Sales Representative,N Central East,02/12/2020,Retail,Individual,Cyndia Tupling,Minnesota,Olive Oil,OO123,Extra Virgin Olive Oil - Trio 12pk,3,234,702
1107591,900010428,Colby Hallberg,Sales Representative,N Central East,05/12/2020,Retail,Individual,Kirsti Clericoates,Ohio,Bath products,BP303,Mandarin and Olive Oil Bar Soap,1,5.99,5.99
1107614,900010428,Colby Hallberg,Sales Representative,N Central East,09/12/2020,Retail,Individual,Jacquie Dewis,Michigan,Olive Oil,OO605,Chili Extra Virgin Olive Oil 6pk,4,123,492
1107653,900010428,Colby Hallberg,Sales Representative,N Central East,13/12/2020,Retail,Individual,Maisey Coultas,Michigan,Olive Oil,OO128,Chili Extra Virgin Olive Oil 12pk,3,234,702
1107684,900010428,Colby Hallberg,Sales Representative,N Central East,17/12/2020,Retail,Individual,Reagen Bulstrode,Minnesota,Olive Oil,OO309,Garlic Extra Virgin Olive Oil,4,26,104
1107703,900010428,Colby Hallberg,Sales Representative,N Central East,20/12/2020,Retail,Individual,Lula MacCoughen,Ohio,Gift Basket,GB303,Scented Olive Oil Lotion Gift Basket,2,27,54
1107726,900010428,Colby Hallberg,Sales Representative,N Central East,24/12/2020,Retail,Individual,Tommie Schultze,Indiana,Olive Oil,OO308,Basil Extra Virgin Olive Oil,1,26,26
1107763,900010428,Colby Hallberg,Sales Representative,N Central East,28/12/2020,Wholesale,Business,Aufderhar LLC,Illinois,Bath products,BP103,Lavender and Olive Oil Bar Soap,14,5.99,83.86
1107779,900010428,Colby Hallberg,Sales Representative,N Central East,30/12/2020,Retail,Individual,Jacquie Dewis,Michigan,Bath products,BP301,Mandarin and Olive Bath Salts,1,8.5,8.5
1107916,900010428,Colby Hallberg,Sales Representative,N Central East,18/01/2021,Wholesale,Business,Hagenes LLC,Wisconsin,Gift Basket,GB301,Scented Olive Oil Candle Gift Basket,13,19.5,253.5
1107912,900010428,Colby Hallberg,Sales Representative,N Central East,18/01/2021,Retail,Individual,Lula MacCoughen,Ohio,Bath products,BP301,Mandarin and Olive Bath Salts,4,8.5,34
